id,site,site_id,job_title,area,due_date,work_location,work_type,link,ingestion_ts,is_new
Ework-71117,Ework,71117,"2nd-line support IT-tekniker, Onsite IT-tekniker","Körkort, Lösningsfokuserad, Onsite tekniker, Komplexa organisationer, IT-support, 2nd Line",2025-09-24T23:59:00+02:00,Malmo,På plats,https://app.verama.com/sv/job-requests/71117,2025-09-19 10:43:17,False
Ework-71114,Ework,71114,Java Backend Developer within Banking (Payments),Java,2025-09-22T12:00:00+02:00,Stockholm,På plats,https://app.verama.com/sv/job-requests/71114,2025-09-19 10:43:17,False
Ework-71113,Ework,71113,Security Architect - WirelessCar,"Auth, DAST, SATS, Threat Modeling, Storages, Platform",2025-09-26T23:59:00+02:00,Gothenburg,Hybrid,https://app.verama.com/sv/job-requests/71113,2025-09-19 10:43:17,False
Ework-71111,Ework,71111,Regional Marketing Manager,"Client Relations, Marketing, Sales, Trade Shows, Negotiation, B2B, budget, Market Data, customer development, Project Management, Marketing Strategy, Healthcare",2025-09-22T13:00:00+02:00,Gothenburg,På plats,https://app.verama.com/sv/job-requests/71111,2025-09-19 10:43:17,False
Ework-71110,Ework,71110,IT-arkitekt,"Solution Architect, Offentlig verksamhet",2025-09-26T12:00:00+02:00,Stockholm,På plats,https://app.verama.com/sv/job-requests/71110,2025-09-19 10:43:17,False
Ework-71109,Ework,71109,Software Engineer,"Git, MS Access, Bitbucket, SQL, .Net, C++, Oracle",2025-09-26T23:59:00+02:00,Gothenburg,På plats,https://app.verama.com/sv/job-requests/71109,2025-09-19 10:43:17,False
Ework-71108,Ework,71108,Senior Scrum Master,"Scrum Master, SAFe",2025-09-22T23:59:00+02:00,Stockholm,Hybrid,https://app.verama.com/sv/job-requests/71108,2025-09-19 10:43:17,False
Nikita-https://www.nikita.se/lediga-uppdrag/senior-testare-5/,Nikita,https://www.nikita.se/lediga-uppdrag/senior-testare-5/,Senior Testare,nan,nan,nan,nan,https://www.nikita.se/lediga-uppdrag/senior-testare-5/,2025-09-19 10:43:18,False
Nikita-https://www.nikita.se/lediga-uppdrag/workstream-lead-for-data-migration/,Nikita,https://www.nikita.se/lediga-uppdrag/workstream-lead-for-data-migration/,Workstream Lead för Data & Migration,nan,nan,nan,nan,https://www.nikita.se/lediga-uppdrag/workstream-lead-for-data-migration/,2025-09-19 10:43:18,False
Nikita-https://www.nikita.se/lediga-uppdrag/data-migration-lead-till-source-to-pay-omradet/,Nikita,https://www.nikita.se/lediga-uppdrag/data-migration-lead-till-source-to-pay-omradet/,Data & Migration Lead till Source to Pay-området,nan,nan,nan,nan,https://www.nikita.se/lediga-uppdrag/data-migration-lead-till-source-to-pay-omradet/,2025-09-19 10:43:18,False
